64
0,0,0
2,0.5,0
3.5,1,0
5,1.5,0
0,0.5,-2
2,1,-2
3.5,1.5,-2
5,2,-2
0,1,-3.5
2,1.5,-3.5
3.5,2,-3.5
5,2.5,-3.5
0,1,-5
2,1.5,-5
3.5,1,-5
5,1.5,-5
0,1,-5
2,1.5,-5
3.5,1,-5
5,1.5,-5
0,1,-6.5
2,1.5,-6.5
3.5,0.5,-6.5
5,1,-6.5
0,0.5,-8
2,1,-8
3.5,0.5,-8
5,1,-8
0,0,-10
2,0.5,-10
3.5,1,-10
5,1.5,-10
5,1.5,0
6.5,2,0
8,1,0
10,0,0
5,2,-2
6.5,2.5,-2
8,1.5,-2
10,0.5,-2
5,2.5,-3.5
6.5,3,-3.5
8,2,-3.5
10,1,-3.5
5,1.5,-5
6.5,2,-5
8,1.5,-5
10,1,-5
5,1.5,-5
6.5,2,-5
8,1.5,-5
10,1,-5
5,1,-6.5
6.5,1,-6.5
8,1.5,-6.5
10,1,-6.5
5,1,-8
6.5,1.5,-8
8,1,-8
10,0.5,-8
5,1.5,-10
6.5,2,-10
8,1,-10
10,0,-10
